% Vallado SGP4 Result (TEME Frame)
% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
    281.0000    -483.978362   -5857.944022   -3746.526983   -1.533477628   -3.899394976    6.296126770
    282.0000    -574.897989   -6079.342954   -3361.073717   -1.496091061   -3.477916937    6.547761824
    283.0000    -663.383050   -6274.997290   -2961.348522   -1.452353336   -3.041546244    6.771684378
    284.0000    -749.057800   -6444.068708   -2549.044119   -1.402446519   -2.592134966    6.966915543
    285.0000    -831.558235   -6585.831873   -2125.908296   -1.346579882   -2.131595894    7.132599309
    286.0000    -910.533705   -6699.677827   -1693.736405   -1.284989093   -1.661894063    7.268007173
    287.0000    -985.648469   -6785.116862   -1254.363575   -1.217935243   -1.185037866    7.372542143
    288.0000   -1056.583184   -6841.780843    -809.656731   -1.145703731   -0.703069840    7.445742071
    289.0000   -1123.036329   -6869.424975    -361.506411   -1.068602997   -0.218057157    7.487282259
    290.0000   -1184.725548   -6867.928991      88.181535   -0.986963119    0.267918079    7.496977324
    291.0000   -1241.388898   -6837.297754     537.494340   -0.901134285    0.752768672    7.474782275
    292.0000   -1292.786014   -6777.661264     984.520761   -0.811485139    1.234412225    7.420792805
    293.0000   -1338.699154   -6689.274075    1427.359507   -0.718401030    1.710781005    7.335244789
    294.0000   -1378.934158   -6572.514124    1864.127613   -0.622282169    2.179831705    7.218512981
    295.0000   -1413.321274   -6427.880972    2292.968717   -0.523541709    2.639555011    7.071108953
    296.0000   -1441.715878   -6255.993486    2712.061189   -0.422603772    3.087984925    6.893678275
    297.0000   -1463.999074   -6057.586970    3119.626068   -0.319901431    3.523207757    6.686996997
    298.0000   -1480.078168   -5833.509762    3513.934766   -0.215874666    3.943370726    6.451967458
    299.0000   -1489.887018   -5584.719335    3893.316510   -0.110968313    4.346690132    6.189613483
    300.0000   -1493.386271   -5312.277918    4256.165467   -0.005630021    4.731459032    5.901075026
    301.0000   -1490.563464   -5017.347670    4600.947540    0.099691772    5.096054403    5.587602312
    302.0000   -1481.433015   -4701.185451    4926.206801    0.204549832    5.438943755    5.250549544
    303.0000   -1466.036090   -4365.137196    5230.571524    0.308500070    5.758691185    4.891368241
    304.0000   -1444.440359   -4010.631959    5512.759822    0.411103436    6.053962853    4.511600262
    305.0000   -1416.739639   -3639.175638    5771.584848    0.511927739    6.323531892    4.112870576
    306.0000   -1383.053427   -3252.344422    6005.959562    0.610549414    6.566282757    3.696879842
