% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
    207.0000   -1453.794829   -4098.503343    5437.202283    0.391532204    5.983061927    4.615870065
    208.0000   -1427.239222   -3731.088623    5702.406167    0.493340538    6.259739261    4.221151191
    209.0000   -1394.637021   -3347.866951    5943.385677    0.593013855    6.509779289    3.808680300
    210.0000   -1356.128964   -2950.468151    6159.128284    0.690132750    6.732148739    3.380221295
    211.0000   -1311.880607   -2540.580483    6348.729212    0.784289666    6.925933349    2.937600719
    212.0000   -1262.081563   -2119.943422    6511.394953    0.875090481    7.090340740    2.482699850
    213.0000   -1206.944651   -1690.340264    6646.446321    0.962155994    7.224702800    2.017446763
    214.0000   -1146.704960   -1253.590618    6753.321014    1.045123342    7.328477567    1.543808370
    215.0000   -1081.618827    -811.542791    6831.575709    1.123647331    7.401250659    1.063782470
    216.0000   -1011.962738    -366.066098    6880.887680    1.197401693    7.442736278    0.579389821
    217.0000    -938.032160      80.956867    6901.055933    1.266080262    7.452777785    0.092666245
    218.0000    -860.140298     527.637991    6892.001880    1.329398089    7.431347895   -0.394345235
    219.0000    -778.616792     972.091398    6853.769535    1.387092469    7.378548475   -0.879602224
    220.0000    -693.806355    1412.441183    6786.525240    1.438923915    7.294609981   -1.361070740
    221.0000    -606.067349    1846.829100    6690.556933    1.484677054    7.179890506   -1.836732972
    222.0000    -515.770315    2273.422186    6566.272945    1.524161457    7.034874470   -2.304595003
    223.0000    -423.296454    2690.420289    6414.200334    1.557212399    6.860170910   -2.762694498
    224.0000    -329.036060    3096.063487    6234.982764    1.583691542    6.656511394   -3.209108353
    225.0000    -233.386923    3488.639367    6029.377919    1.603487552    6.424747508   -3.641960300
    226.0000    -136.752690    3866.490138    5798.254471    1.616516621    6.165847933   -4.059428444
    227.0000     -39.541197    4228.019567    5542.588589    1.622722914    5.880895065   -4.459752732
    228.0000      57.837217    4571.699680    5263.460009    1.622078916    5.571081186   -4.841242309
    229.0000     154.971419    4896.077236    4962.047661    1.614585683    5.237704147   -5.202282739
    230.0000     251.451201    5199.779915    4639.624875    1.600272977    4.882162567   -5.541343057
    231.0000     346.869003    5481.522211    4297.554162    1.579199302    4.505950534   -5.856982602
    232.0000     440.821638    5740.110988    3937.281597    1.551451801    4.110651799   -6.147857590
    233.0000     532.912001    5974.450672    3560.330818    1.517146035    3.697933476   -6.412727375
    234.0000     622.750768    6183.548051    3168.296654    1.476425628    3.269539249   -6.650460344
    235.0000     709.958060    6366.516652    2762.838420    1.429461770    2.827282118   -6.860039386
    236.0000     794.165086    6522.580673    2345.672891    1.376452584    2.373036694   -7.040566898
    237.0000     875.015729    6651.078434    1918.566994    1.317622345    1.908731089   -7.191269255
    238.0000     952.168093    6751.465335    1483.330253    1.253220565    1.436338437   -7.311500708
    239.0000    1025.295983    6823.316295    1041.807011    1.183520933    0.957868110   -7.400746662
    240.0000    1094.090322    6866.327652     595.868481    1.108820123    0.475356661   -7.458626297
    241.0000    1158.260490    6880.318518     147.404658    1.029436479   -0.009141423   -7.484894493
    242.0000    1217.535583    6865.231573    -301.683860    0.945708565   -0.493563095   -7.479443049
    243.0000    1271.665576    6821.133297    -749.494107    0.857993626   -0.975846190   -7.442301172
    244.0000    1320.422399    6748.213630   -1194.128988    0.766665930   -1.453938854   -7.373635227
    245.0000    1363.600903    6646.785075   -1633.705478    0.672115038   -1.925808891   -7.273747762
    246.0000    1401.019727    6517.281242   -2066.362752    0.574743996   -2.389452963   -7.143075820
