% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
    293.0000   -1345.742329   -6667.786831    1505.235520   -0.701594644    1.795496631    7.318162430
    294.0000   -1384.951284   -6545.976316    1940.809611   -0.604898688    2.263406035    7.195803265
    295.0000   -1418.279859   -6396.372184    2368.120803   -0.505652737    2.721618518    7.042834214
    296.0000   -1445.587807   -6219.615341    2785.351957   -0.404283534    3.168172825    6.859925918
    297.0000   -1466.760756   -6016.462791    3190.730102   -0.301226429    3.601161726    6.647879140
    298.0000   -1481.710660   -5787.784136    3582.534106   -0.196923328    4.018740581    6.407620440
    299.0000   -1490.376134   -5534.557576    3959.102088   -0.091820632    4.419135446    6.140197256
    300.0000   -1492.722661   -5257.865432    4318.838503    0.013632807    4.800650684    5.846772430
    301.0000   -1488.742676   -4958.889237    4660.220892    0.118987715    5.161676057    5.528618248
    302.0000   -1478.455536   -4638.904410    4981.806257    0.223796384    5.500693251    5.187110051
    303.0000   -1461.907362   -4299.274557    5282.237047    0.327614615    5.816281849    4.823719492
    304.0000   -1439.170776   -3941.445439    5560.246720    0.430003599    6.107124721    4.440007480
    305.0000   -1410.344521   -3566.938621    5814.664887    0.530531742    6.372012841    4.037616895
    306.0000   -1375.552974   -3177.344857    6044.422003    0.628776409    6.609849544    3.618265102
    307.0000   -1334.945561   -2774.317238    6248.553606    0.724325608    6.819654237    3.183736331
    308.0000   -1288.696066   -2359.564126    6426.204101    0.816779579    7.000565579    2.735873961
